Data;Balance
2017.12.19;12776.00
2017.12.19;12776.00
2017.12.20;12729.00
2017.12.20;12729.00
2017.12.20;12729.00
2017.12.22;12833.00
2017.12.22;12833.00
2017.12.22;12833.00
2017.12.27;12805.00
2017.12.27;12805.00
2017.12.27;12805.00
2018.01.02;12798.00
2018.01.02;12798.00
2018.01.02;12798.00
2018.01.03;12760.00
2018.01.03;12760.00
2018.01.03;12760.00
2018.01.08;12779.00
2018.01.08;12779.00
2018.01.08;12779.00
2018.01.12;12787.00
2018.01.12;12787.00
2018.01.12;12787.00
2018.01.16;12799.00
2018.01.16;12799.00
2018.01.16;12799.00
2018.01.22;12868.00
2018.01.22;12868.00
2018.01.22;12868.00
2018.01.23;12905.00
2018.01.23;12905.00
2018.01.23;12905.00
2018.01.26;13017.00
2018.01.26;13017.00
2018.01.26;13017.00
2018.01.29;13046.00
2018.01.29;13046.00
2018.01.29;13046.00
2018.01.30;13041.00
2018.01.30;13041.00
2018.01.30;13041.00
2018.01.31;12986.00
2018.01.31;12986.00
2018.01.31;12986.00
2018.02.01;13103.00
2018.02.01;13103.00
2018.02.01;13103.00
2018.02.02;13021.00
2018.02.02;13021.00
2018.02.02;13021.00
2018.02.05;13156.00
2018.02.05;13156.00
2018.02.05;13156.00
2018.02.08;13100.00
2018.02.08;13100.00
2018.02.08;13100.00
2018.02.09;13235.00
2018.02.09;13235.00
2018.02.09;13235.00
2018.02.14;13160.00
2018.02.14;13160.00
2018.02.14;13160.00
2018.02.15;13134.00
2018.02.15;13134.00
2018.02.15;13134.00
2018.02.16;13098.00
2018.02.16;13098.00
2018.02.16;13098.00
2018.02.19;13106.00
2018.02.19;13106.00
2018.02.19;13106.00
2018.02.20;13074.00
2018.02.20;13074.00
2018.02.23;13198.00
2018.02.23;13198.00
2018.02.23;13198.00
2018.02.28;13147.00
2018.02.28;13147.00
2018.02.28;13147.00
2018.03.01;13282.00
2018.03.01;13282.00
2018.03.01;13282.00
2018.03.02;13389.00
2018.03.02;13389.00
2018.03.02;13389.00
2018.03.05;13335.00
2018.03.05;13335.00
2018.03.05;13335.00
2018.03.07;13418.00
2018.03.07;13418.00
2018.03.07;13418.00
2018.03.08;13415.00
2018.03.08;13415.00
2018.03.08;13415.00
2018.03.09;13358.00
2018.03.09;13358.00
2018.03.09;13358.00
2018.03.12;13398.00
2018.03.12;13398.00
2018.03.12;13398.00
2018.03.13;13513.00
2018.03.13;13513.00
2018.03.13;13513.00
2018.03.13;13478.00
2018.03.13;13478.00
2018.03.13;13478.00
2018.03.14;13431.00
2018.03.14;13431.00
2018.03.14;13431.00
2018.03.15;13388.00
2018.03.15;13388.00
2018.03.15;13388.00
2018.03.16;13448.00
2018.03.16;13448.00
2018.03.16;13448.00
2018.03.19;13399.00
2018.03.19;13399.00
2018.03.19;13399.00
2018.03.21;13360.00
2018.03.21;13360.00
2018.03.21;13360.00
2018.03.22;13481.00
2018.03.22;13481.00
2018.03.22;13481.00
2018.03.22;13616.00
2018.03.22;13616.00
2018.03.22;13616.00
2018.03.23;13736.00
2018.03.23;13736.00
2018.03.23;13736.00
2018.03.27;13871.00
2018.03.27;13871.00
2018.03.27;13931.00
2018.03.27;13931.00
2018.03.27;13931.00
2018.03.29;13900.00
2018.03.29;13900.00
2018.03.29;13900.00
2018.04.02;14015.00
2018.04.02;14015.00
2018.04.02;14015.00
2018.04.04;13950.00
2018.04.04;13950.00
2018.04.04;13950.00
2018.04.06;13934.00
2018.04.06;13934.00
2018.04.06;13934.00
2018.04.09;14054.00
2018.04.09;14054.00
2018.04.09;14054.00
2018.04.09;14001.00
2018.04.09;14001.00
2018.04.09;14001.00
2018.04.11;13946.00
2018.04.11;13946.00
2018.04.11;13946.00
2018.04.12;14060.00
2018.04.12;14060.00
2018.04.12;14060.00
2018.04.12;14098.00
2018.04.12;14098.00
2018.04.12;14098.00
2018.04.13;14163.00
2018.04.13;14163.00
2018.04.13;14119.00
2018.04.13;14119.00
2018.04.13;14119.00
2018.04.16;14081.00
2018.04.16;14081.00
2018.04.16;14081.00
2018.04.18;14030.00
2018.04.18;14030.00
2018.04.18;14030.00
2018.04.19;14128.00
2018.04.19;14128.00
2018.04.19;14128.00
2018.04.24;14082.00
2018.04.24;14082.00
2018.04.24;14082.00
2018.04.25;14178.00
2018.04.25;14178.00
2018.04.25;14178.00
2018.04.26;14143.00
2018.04.26;14143.00
2018.04.26;14143.00
2018.04.27;14278.00
2018.04.27;14278.00
2018.04.27;14278.00
2018.04.30;14232.00
2018.04.30;14232.00
2018.04.30;14232.00
2018.05.02;14188.00
2018.05.02;14188.00
2018.05.02;14188.00
2018.05.03;14153.00
2018.05.03;14153.00
2018.05.03;14153.00
2018.05.04;14288.00
2018.05.04;14288.00
2018.05.04;14288.00
2018.05.07;14373.00
2018.05.07;14373.00
2018.05.07;14373.00
2018.05.08;14508.00
2018.05.08;14508.00
2018.05.08;14508.00
2018.05.09;14643.00
2018.05.09;14643.00
2018.05.09;14643.00
2018.05.10;14594.00
2018.05.10;14594.00
2018.05.10;14594.00
2018.05.11;14546.00
2018.05.11;14546.00
2018.05.11;14546.00
2018.05.14;14681.00
2018.05.14;14681.00
2018.05.14;14681.00
2018.05.15;14816.00
2018.05.15;14816.00
2018.05.15;14816.00
2018.05.16;14837.00
2018.05.16;14837.00
2018.05.16;14837.00
2018.05.17;14782.00
2018.05.17;14782.00
2018.05.17;14782.00
2018.05.18;14709.00
2018.05.18;14709.00
2018.05.18;14709.00
2018.05.21;14844.00
2018.05.21;14844.00
2018.05.21;14844.00
2018.05.21;14779.00
2018.05.21;14779.00
2018.05.21;14779.00
2018.05.23;14706.00
2018.05.23;14706.00
2018.05.23;14706.00
2018.05.24;14811.00
2018.05.24;14811.00
2018.05.24;14811.00
2018.05.25;15014.00
2018.05.25;15014.00
2018.05.28;14940.00
2018.05.28;14940.00
2018.05.28;14940.00
2018.05.29;15157.00
