<DATE>;<BALANCE>;<EQUITY>;<DEPOSIT LOAD>
2018.10.30 12:15;11503.00;11371.00;0.0000
2018.10.30 12:32;11503.00;11494.00;0.0000
2018.10.30 12:33;11503.00;11503.00;0.0000
2018.11.07 16:12;11609.00;11473.00;0.0000
2018.11.07 17:33;11609.00;11600.00;0.0000
2018.11.07 17:34;11609.00;11609.00;0.0000
2018.11.23 11:30;11715.00;11606.00;0.0000
2018.11.23 13:00;11715.00;11712.00;0.0000
2018.11.23 13:28;11715.00;11715.00;0.0000
2018.11.27 15:29;11820.00;11650.00;0.0000
2018.11.27 16:36;11820.00;11813.00;0.0000
2018.11.27 16:47;11820.00;11820.00;0.0000
2018.12.04 15:49;11926.00;11792.00;0.0000
2018.12.04 16:29;11926.00;11924.00;0.0000
2018.12.04 16:30;11926.00;11926.00;0.0000
2018.12.07 12:11;12031.00;11914.00;0.0000
2018.12.07 12:44;12031.00;12026.00;0.0000
2018.12.07 12:45;12031.00;12031.00;0.0000
2018.12.12 11:00;11936.00;12033.00;0.0000
2018.12.12 11:33;11936.00;11944.00;0.0000
2018.12.12 11:45;11936.00;11936.00;0.0000
2018.12.17 14:07;12042.00;11847.00;0.0000
2018.12.17 16:33;12042.00;12034.00;0.0000
2018.12.17 16:34;12042.00;12042.00;0.0000
2018.12.19 13:00;12147.00;12039.00;0.0000
2018.12.19 14:56;12147.00;12146.00;0.0000
2018.12.19 15:00;12147.00;12147.00;0.0000
2018.12.28 18:13;12147.00;12147.00;0.0000
